idRutas;Nombre_Ruta;Destino;Posicion;Nombre_Parada;Tipo_Servicio;Estación
1;C15;Portal Suba;0;Portal Tunal T6;TRONCAL;Portal Tunal
1;C15;Portal Suba;1293;Parque A - 4 ó 6;TRONCAL;Parque
1;C15;Portal Suba;3454;Calle 40 S. A - 4 ó 6;TRONCAL;Calle 40 Sur
1;C15;Portal Suba;4918;Olaya A - 3 ó 6;TRONCAL;Olaya
1;C15;Portal Suba;8415;Tercer Milenio B - 4 ó 6;TRONCAL;Tercer Milenio
1;C15;Portal Suba;9046;Av. Jiménez B - 4 ó 6;TRONCAL;Jiménez
1;C15;Portal Suba;9735;Calle 19 B - 4 ó 6;TRONCAL;Calle 19
1;C15;Portal Suba;10154;Calle 22 A - 4 ó 6;TRONCAL;Calle 22
1;C15;Portal Suba;12490;Calle 45 A - 4 ó 6;TRONCAL;Calle 45
1;C15;Portal Suba;13242;Marly B - 4 ó 6;TRONCAL;Marly
1;C15;Portal Suba;16069;Calle 76 A - 4 ó 6;TRONCAL;Calle 76
1;C15;Portal Suba;17900;Escuela Militar A - 4 ó 6;TRONCAL;Escuela Militar
1;C15;Portal Suba;19209;Rionegro A - 3 ó 6;TRONCAL;Rionegro
1;C15;Portal Suba;20895;Puentelargo B - 4 ó 6;TRONCAL;Puentelargo
1;C15;Portal Suba;22443;Humedal Córdoba B - 4 ó 6;TRONCAL;Humedal Córdoba
1;C15;Portal Suba;23041;Niza - Calle 127 B - 4 ó 6;TRONCAL;Niza Calle 127
1;C15;Portal Suba;24738;Gratamira A - 3 ó 6;TRONCAL;Gratamira
1;C15;Portal Suba;28458;Portal Suba T3;TRONCAL;Portal Suba
1;H15;Portal Tunal;0;Portal Suba T3;TRONCAL;Portal Suba
1;H15;Portal Tunal;3402;Gratamira A - 2 ó 5;TRONCAL;Gratamira
1;H15;Portal Tunal;5105;Niza - Calle 127 B - 1 ó 5;TRONCAL;Niza Calle 127
1;H15;Portal Tunal;5702;Humedal Córdoba B - 1 ó 5;TRONCAL;Humedal Córdoba
1;H15;Portal Tunal;7256;Puentelargo B - 1 ó 5;TRONCAL;Puentelargo
1;H15;Portal Tunal;8923;Rionegro A - 2 ó 5;TRONCAL;Rionegro
1;H15;Portal Tunal;10086;Escuela Militar A - 2 ó 5;TRONCAL;Escuela Militar
1;H15;Portal Tunal;11827;Calle 76 B - 2 ó 5;TRONCAL;Calle 76
1;H15;Portal Tunal;14803;Marly A - 2 ó 5;TRONCAL;Marly
1;H15;Portal Tunal;15482;Calle 45 A - 2 ó 5;TRONCAL;Calle 45
1;H15;Portal Tunal;17824;Calle 22 A - 2 ó 5;TRONCAL;Calle 22
1;H15;Portal Tunal;18244;Calle 19 B - 2 ó 5;TRONCAL;Calle 19
1;H15;Portal Tunal;19009;Av. Jiménez A - 2 ó 5;TRONCAL;Jiménez
1;H15;Portal Tunal;19559;Tercer Milenio B - 2 ó 5;TRONCAL;Tercer Milenio
1;H15;Portal Tunal;23035;Olaya A - 2 ó 5;TRONCAL;Olaya
1;H15;Portal Tunal;24519;Calle 40 S. A - 2 ó 5;TRONCAL;Calle 40 Sur
1;H15;Portal Tunal;26685;Parque A - 2 ó 5;TRONCAL;Parque
1;H15;Portal Tunal;27767;Portal Tunal T6;TRONCAL;Portal Tunal
1;C15;Portal Suba;0;Portal Tunal T6;TRONCAL;Portal Tunal
1;C15;Portal Suba;1293;Parque A - 4 ó 6;TRONCAL;Parque
1;C15;Portal Suba;3454;Calle 40 S. A - 4 ó 6;TRONCAL;Calle 40 Sur
1;C15;Portal Suba;4918;Olaya A - 3 ó 6;TRONCAL;Olaya
1;C15;Portal Suba;8415;Tercer Milenio B - 4 ó 6;TRONCAL;Tercer Milenio
1;C15;Portal Suba;9046;Av. Jiménez B - 4 ó 6;TRONCAL;Jiménez
1;C15;Portal Suba;9735;Calle 19 B - 4 ó 6;TRONCAL;Calle 19
1;C15;Portal Suba;10154;Calle 22 A - 4 ó 6;TRONCAL;Calle 22
1;C15;Portal Suba;12490;Calle 45 A - 4 ó 6;TRONCAL;Calle 45
1;C15;Portal Suba;13242;Marly B - 4 ó 6;TRONCAL;Marly
1;C15;Portal Suba;16069;Calle 76 A - 4 ó 6;TRONCAL;Calle 76
1;C15;Portal Suba;17900;Escuela Militar A - 4 ó 6;TRONCAL;Escuela Militar
1;C15;Portal Suba;19209;Rionegro A - 3 ó 6;TRONCAL;Rionegro
1;C15;Portal Suba;20895;Puentelargo B - 4 ó 6;TRONCAL;Puentelargo
1;C15;Portal Suba;22443;Humedal Córdoba B - 4 ó 6;TRONCAL;Humedal Córdoba
1;C15;Portal Suba;23041;Niza - Calle 127 B - 4 ó 6;TRONCAL;Niza Calle 127
1;C15;Portal Suba;24738;Gratamira A - 3 ó 6;TRONCAL;Gratamira
1;C15;Portal Suba;28458;Portal Suba T3;TRONCAL;Portal Suba
1;H15;Portal Tunal;0;Portal Suba T3;TRONCAL;Portal Suba
1;H15;Portal Tunal;3402;Gratamira A - 2 ó 5;TRONCAL;Gratamira
1;H15;Portal Tunal;5105;Niza - Calle 127 B - 1 ó 5;TRONCAL;Niza Calle 127
1;H15;Portal Tunal;5702;Humedal Córdoba B - 1 ó 5;TRONCAL;Humedal Córdoba
1;H15;Portal Tunal;7256;Puentelargo B - 1 ó 5;TRONCAL;Puentelargo
1;H15;Portal Tunal;8923;Rionegro A - 2 ó 5;TRONCAL;Rionegro
1;H15;Portal Tunal;10086;Escuela Militar A - 2 ó 5;TRONCAL;Escuela Militar
1;H15;Portal Tunal;11827;Calle 76 B - 2 ó 5;TRONCAL;Calle 76
1;H15;Portal Tunal;14803;Marly A - 2 ó 5;TRONCAL;Marly
1;H15;Portal Tunal;15482;Calle 45 A - 2 ó 5;TRONCAL;Calle 45
1;H15;Portal Tunal;17824;Calle 22 A - 2 ó 5;TRONCAL;Calle 22
1;H15;Portal Tunal;18244;Calle 19 B - 2 ó 5;TRONCAL;Calle 19
1;H15;Portal Tunal;19009;Av. Jiménez A - 2 ó 5;TRONCAL;Jiménez
1;H15;Portal Tunal;19559;Tercer Milenio B - 2 ó 5;TRONCAL;Tercer Milenio
1;H15;Portal Tunal;23035;Olaya A - 2 ó 5;TRONCAL;Olaya
1;H15;Portal Tunal;24519;Calle 40 S. A - 2 ó 5;TRONCAL;Calle 40 Sur
1;H15;Portal Tunal;26685;Parque A - 2 ó 5;TRONCAL;Parque
1;H15;Portal Tunal;27767;Portal Tunal T6;TRONCAL;Portal Tunal
2;A52;Flores;0;Portal Sur T6;TRONCAL;Portal Sur
2;A52;Flores;832;Perdomo B - 3;TRONCAL;Perdomo
2;A52;Flores;1714;Madelena B - 3;TRONCAL;Madelena
2;A52;Flores;3314;Venecia B - 3;TRONCAL;Venecia
2;A52;Flores;4284;Alquería B - 3;TRONCAL;Alquería
2;A52;Flores;4752;G. Santander A - 4 ó 6;TRONCAL;General Santander
2;A52;Flores;6092;NQS - Calle 30 Sur B - 3;TRONCAL;NQS Calle 30 Sur
2;A52;Flores;7987;Santa Isabel B - 3;TRONCAL;Santa Isabel
2;A52;Flores;19372;Calle 76 C - 2;TRONCAL;Calle 76
2;A52;Flores;20688;Flores B - 4 ó 6;TRONCAL;Flores
2;G52;Portal Sur;0;Flores B - 4 ó 6;TRONCAL;Flores
2;G52;Portal Sur;909;Calle 76 B - 4 ó 6;TRONCAL;Calle 76
2;G52;Portal Sur;12443;Santa Isabel B - 1;TRONCAL;Santa Isabel
2;G52;Portal Sur;14396;NQS - Calle 30 Sur A - 1;TRONCAL;NQS Calle 30 Sur
2;G52;Portal Sur;15625;G. Santander B - 2 ó 5;TRONCAL;General Santander
2;G52;Portal Sur;16143;Alquería B - 1;TRONCAL;Alquería
2;G52;Portal Sur;17111;Venecia B - 1;TRONCAL;Venecia
2;G52;Portal Sur;18772;Madelena A - 1;TRONCAL;Madelena
2;G52;Portal Sur;19597;Perdomo B - 1;TRONCAL;Perdomo
2;G52;Portal Sur;20272;Portal Sur T6;TRONCAL;Portal Sur
4;A74;Calle 72;0;Toberín D - 2;TRONCAL;Toberín
4;A74;Calle 72;1818;Calle 146 C - 1;TRONCAL;Calle 146
4;A74;Calle 72;2255;Calle 142 A - 2;TRONCAL;Calle 142
